id,predmet,platce,platce_ico,dodavatel,hodnota_czk,datum,odkaz,zdroj,stazeno,je_skola,je_nabytek,skola_nazev,skola_izo,skola_kraj,skola_priorita,skola_score
36756769,Vybavení nové školy na Komenského náměstí – školní nábytek,Město Říčany,00240702,"KOVO, výrobní družstvo",5810755.17,2026-02-06,https://smlouvy.gov.cz/smlouva/36756769,RegistrSmluv,2026-04-22 22:33,False,True,,,,,
36757041,Vybavení nové školy na Komenského náměstí – kancelářský nábytek,Město Říčany,00240702,drevotvar.com družstvo,3963732.52,2026-02-05,https://smlouvy.gov.cz/smlouva/36757041,RegistrSmluv,2026-04-22 22:33,False,True,,,,,
37625945,"Kupní smlouva - Nábytek pro přírodovědné centrum školy (učebna, laboratoř, přípravna a sklad), VZ č. 016/2026",Moravskoslezský kraj,70890692,VWR International s.r.o.,1623674.8,2026-04-16,https://smlouvy.gov.cz/smlouva/37625945,RegistrSmluv,2026-04-22 22:33,False,True,,,,,
36744565,Objednávka: 4598005301 nábytek na míru do malé zasedací místnosti RUP,Univerzita Palackého v Olomouci,61989592,Gavi interiér s.r.o.,479000.0,2026-02-09,https://smlouvy.gov.cz/smlouva/36744565,RegistrSmluv,2026-04-22 22:33,False,True,,,,,
36568789,ZD1081/2025-SEG - Nábytek kancelářský OP JAK SPEC II,Česká republika - Ministerstvo obrany,60162694,Dlugosz s.r.o.,381392.0,2026-01-28,https://smlouvy.gov.cz/smlouva/36568789,RegistrSmluv,2026-04-22 22:33,False,True,Vojenská střední škola a Vyšší odborná škola Ministerstva obrany v Moravské Třebové,250000016,Pardubický kraj,C,27.5
36751869,Objednávka na nábytek do šatny tělocvičny,Město Králíky,00279072,"ALEX kovový a školní nábytek, s.r.o.",299959.0,2026-02-09,https://smlouvy.gov.cz/smlouva/36751869,RegistrSmluv,2026-04-22 22:33,False,True,,,,,
36597137,Vybavení interiéru pro budovu EA a EB (FES) – 2. etapa – 1. část: židle,Univerzita Pardubice,00216275,"Apinae Design, s.r.o.",278712.0,2026-01-29,https://smlouvy.gov.cz/smlouva/36597137,RegistrSmluv,2026-04-22 22:33,False,True,,,,,
37416965,Darovací smlouva na finanční dar na nákup nábytku a vybavení tříd,Městská část Praha-Újezd,00241784,"Základní škola, Praha 4, Ke Kateřinkám 1400",150000.0,2026-04-01,https://smlouvy.gov.cz/smlouva/37416965,RegistrSmluv,2026-04-22 22:33,False,True,,,,,
36764901,DODATEK č. 3 ke smlouvě o výpůjčce ze dne 14.09.2006,Město Rýmařov,00296317,"Základní škola Rýmařov, Jelínkova 1, okres Bruntál",116704435.17,2026-01-28,https://smlouvy.gov.cz/smlouva/36764901,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36795409,OST - ZZS JMK - výjezdová základna Břeclav - smlouva o dílo na zhotovení stavby VZ Břeclav,Jihomoravský kraj,70888337,"ESOX, spol. s r.o.",114716471.55,2026-02-10,https://smlouvy.gov.cz/smlouva/36795409,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36750741,"I/6 Oprava mostu ev.č. 6-052..1, 6-052..2 vč. ramp Pražský most",Ředitelství silnic a dálnic s. p.,65993390,LIZDROJ s.r.o.,95867513.01,2026-02-10,https://smlouvy.gov.cz/smlouva/36750741,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36718157,Smlouva o dílo - Zhotovení díla &quot;Instalace elektrodového kotle v provozu PBS,"Teplárny Brno, a.s.",46347534,MOTeC spol. s r.o.,69707000.0,2026-02-06,https://smlouvy.gov.cz/smlouva/36718157,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36770969,Kupní smlouva a dohoda o zřízení a provozování konsignačního skladu na dodávky zboží - dodávky spinálních implantátů pro,"Městská nemocnice Ostrava, příspěvková organizace",00635162,Medtronic Czechia s.r.o.,32032017.6,2026-02-10,https://smlouvy.gov.cz/smlouva/36770969,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36764897,Bezúplatný převod - Smlouva o bezúplatném převodu majetku,Město Rýmařov,00296317,"Základní škola Rýmařov, Jelínkova 1, okres Bruntál",9127685.58,2026-01-28,https://smlouvy.gov.cz/smlouva/36764897,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36798945,I/6 Most ev. č. 6-029 Hořesedly - celková oprava,Ředitelství silnic a dálnic s. p.,65993390,Společnost T.A.Q. s.r.o.,8865364.47,2026-02-11,https://smlouvy.gov.cz/smlouva/36798945,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36757553,Jedná se o dodávku SD WAN centrálních routerů vč. standardního software v aktuální verzi a potřebných licencí k jeho uži,VŠEOBECNÁ ZDRAVOTNÍ POJIŠŤOVNA ČESKÉ REPUBLIKY,41197518,X Consulting Co. s.r.o.,8196090.0,2026-02-10,https://smlouvy.gov.cz/smlouva/36757553,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36676317,SMLOUVA O ÚPRAVĚ VZÁJEMNÝCH VZTAHŮ,Městská část Praha 8,00063797,JRD Kappa s.r.o.,8162880.0,2026-02-02,https://smlouvy.gov.cz/smlouva/36676317,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36760957,"II/430 Brno, Olomoucká, mosty 430-001, 002 , Smlouva o realizaci překládky sítě elektronických komunikací","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje",70932581,CETIN a.s.,7750781.0,2026-02-11,https://smlouvy.gov.cz/smlouva/36760957,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36757161,"Smlouva - Rekonstrukce bytových jednotek BD Okružní 4699, Středová 4786, Družstevní 4509 a  Oprava bytových jednotek BD ",statutární město Zlín,00283924,KERAMO D - Dohorák s.r.o.,6318887.78,2026-02-11,https://smlouvy.gov.cz/smlouva/36757161,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36616317,Smlouva - bezúplatná výpůjčka hmotných a nehmotných věcí pořízených v rámci projektu,"Statutární město Ostrava, městský obvod Moravská Ostrava a Přívoz",00845451,"Základní škola Ostrava, Gen. Píky 13A, příspěvková organizace",5395806.24,2026-01-29,https://smlouvy.gov.cz/smlouva/36616317,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36758429,Smlouva o dílo - Monitoring stavu vodního prodtředí,Agentura ochrany přírody a krajiny ČR,62933591,Výzkumný ústav vodohospodářský T. G. Masaryka veřejná výzkumná instituce,5327419.0,2026-02-06,https://smlouvy.gov.cz/smlouva/36758429,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36787529,Smlouva - Dodávka IT techniky – Modernizace ZŠ Štípa za účelem vybudování odborných učeben,statutární město Zlín,00283924,"Z + M Partner, spol. s r.o.",4797044.0,2026-02-11,https://smlouvy.gov.cz/smlouva/36787529,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36715449,Zveřejnění RD č. 0340/2026/HS/VZ_Drogerie bez NP,Statutární město Ostrava,00845451,KARFO velkoobchod s.r.o.,4500000.0,2026-02-09,https://smlouvy.gov.cz/smlouva/36715449,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36616333,Smlouva - bezúplatná výpůjčka hmotných a nehmotných věcí pořízených v rámci projektu,"Statutární město Ostrava, městský obvod Moravská Ostrava a Přívoz",00845451,"Základní škola Ostrava, Zelená 42, příspěvková organizace",4255065.67,2026-01-29,https://smlouvy.gov.cz/smlouva/36616333,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36618081,"Smlouva o dílo č. 94/26/OŠK School games 2026,ag.č. S/0158/2026/OŠK","Statutární město Ostrava, městský obvod Ostrava-Jih",00845451,"Rainbow Run, z.s.",2919478.0,2026-02-02,https://smlouvy.gov.cz/smlouva/36618081,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36601265,Smlouva na plnění veřejné zakázky na realizaci akce - Údržba a opravy elektroinstalace objektů v majetku města Litvínova,Město Litvínov,00266027,DIGAMA ENERGY s.r.o.,1990000.0,2026-01-30,https://smlouvy.gov.cz/smlouva/36601265,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36765153,Bezúplatný převod - Smlouva o bezúplatném převodu majetku,Město Rýmařov,00296317,"Mateřská škola Rýmařov, Jelínkova 3, příspěvková organizace",1909399.15,2026-01-28,https://smlouvy.gov.cz/smlouva/36765153,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36749185,"D10 Výstavba WIM, lokalita km 5,720 - Objednávka 2",Ředitelství silnic a dálnic s. p.,65993390,MI Roads a.s.,1606950.0,2026-02-06,https://smlouvy.gov.cz/smlouva/36749185,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36636369,Dodávka vybavení do školní družiny ZŠ Jižní Žatec,"Sociálně-právní institut, s.r.o.",61538353,"Základní škola, Žatec, Jižní 2777, okres Louny",1449240.0,2026-02-02,https://smlouvy.gov.cz/smlouva/36636369,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36683725,"Silnice II/353 a III/35724 Sádek, PD",Správa a údržba silnic Pardubického kraje,00085031,PRODIN a.s.,1319800.0,2026-01-30,https://smlouvy.gov.cz/smlouva/36683725,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36602881,Pojistná smlouva - o pojištění majetku a odpovědnosti,Město Mohelnice,00303038,Generali Česká pojišťovna a.s.,926000.0,2026-01-30,https://smlouvy.gov.cz/smlouva/36602881,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36674513,"JMK - opravy po dopravních nehodách na silnicích I. tříd – Viník známý, neznámý",Ředitelství silnic a dálnic s. p.,65993390,"Značky Morava, a.s.",769081.0,2026-01-30,https://smlouvy.gov.cz/smlouva/36674513,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36644957,Nájemní smlouva - pronájem prostor pro Mezinárodní hudební soutěž PJ,"Pražské jaro, o.p.s.",25773194,Akademie múzických umění v Praze,756740.0,2026-02-03,https://smlouvy.gov.cz/smlouva/36644957,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36683749,"„Most ev.č. 371-003 Rozstání, PD",Správa a údržba silnic Pardubického kraje,00085031,MDS projekt s.r.o.,545000.0,2026-02-02,https://smlouvy.gov.cz/smlouva/36683749,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36672489,Smlouva o dílo na rozvoj software - Vladyka,"Správa železnic, státní organizace",70994234,"Ing. Jiří Petráš, Ph.D.",480000.0,2026-01-28,https://smlouvy.gov.cz/smlouva/36672489,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36802761,Sociodemografická analýza území města Kuřim s prognózou počtu a struktury obyvatel do roku 2050,Město Kuřim,00281964,"FUTURAinvest, s.r.o.",340000.0,2026-02-11,https://smlouvy.gov.cz/smlouva/36802761,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36619117,Kancelářské potřeby 1.Q 2026,Česká průmyslová zdravotní pojišťovna,47672234,OFFICE SYSTEM s.r.o.,265286.62,2026-01-29,https://smlouvy.gov.cz/smlouva/36619117,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36759173,Objednávka - výroba a úprava dekorace,Východočeské divadlo Pardubice,00088358,"Divadlo Na Fidlovačce, z.ú.",234400.0,2026-02-04,https://smlouvy.gov.cz/smlouva/36759173,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36662925,"Smlouva o poskytnutí dotace v rámci programu Rozvoj podnikatelů 2025, ID dotace FV02961.0053",KruV - RS (Kraj Vysočina),70890749,"ARTEMIA,s.r.o.",150000.0,2026-01-30,https://smlouvy.gov.cz/smlouva/36662925,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36790441,Veřejnoprávní smlouva ev.č. 0579/2026/KaŠ,Statutární město Ostrava,00845451,"Základní škola, Ostrava-Hrabůvka, U Haldy 66, příspěvková organizace",120000.0,2026-02-13,https://smlouvy.gov.cz/smlouva/36790441,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36596469,Smlouva o podnájmu TZ Sklené,"Active - středisko volného času, příspěvková organizace",72052414,"Základní škola Jihlava, Demlova 32, příspěvková organizace",0.0,2026-01-28,https://smlouvy.gov.cz/smlouva/36596469,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36564753,093/2024/OEK-dodatek č. 1 ke smlouvě o výpůjčce-ZŠ a MŠ Kupkova,Město Břeclav,00283061,"Základní škola a Mateřská škola Břeclav, Kupkova 1, příspěvková organizace",0.0,2026-01-27,https://smlouvy.gov.cz/smlouva/36564753,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36775521,"DODATEK Č. 1
ke SMLOUVĚ
o zajištění zimní a běžné údržby vybraných úseků dálnic a silnic I. třídy (",Ředitelství silnic a dálnic s. p.,65993390,AVE Kladno s.r.o.,0.0,2026-02-04,https://smlouvy.gov.cz/smlouva/36775521,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36709529,Smlouva o spolupráci při řešení společného projektu „Volba střední školy žáky devátých tříd ve Středočeském kraji“,"Sociologický ústav AV ČR, v. v. i.",68378025,Středočeský kraj,0.0,2026-02-06,https://smlouvy.gov.cz/smlouva/36709529,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36667365,1/2026 - Návrh změny 2-25 ÚPmB - smlouva o vzájemné spolupráci,Statutární město Brno,44992785,"Kancelář architekta města Brna, příspěvková organizace",0.0,2026-01-30,https://smlouvy.gov.cz/smlouva/36667365,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
36793853,Modernizace ZŠ 5.května v Jablonci nad Nisou“ pro Etapu I. a Etapu III. - dodatek č.3,Statutární město Jablonec nad Nisou,00262340,CL-EVANS s.r.o.,-4133986.54,2026-02-13,https://smlouvy.gov.cz/smlouva/36793853,RegistrSmluv,2026-04-22 22:33,False,False,,,,,
