id,platce,platce_ico,dodavatel,dodavatel_ico,hodnota_czk,datum,rok,predmet,je_skola
36742649,Základní škola Praha - Kbely,61384780,OLMAN SERVICE s.r.o.,26293102,2900000.0,2026-01-30,2026,Smlouva o poskytování komplexních úklidových služeb,True
36715449,Statutární město Ostrava,00845451,KARFO velkoobchod s.r.o.,26872382,4500000.0,2026-02-09,2026,Zveřejnění RD č. 0340/2026/HS/VZ_Drogerie bez NP,False
36643505,"Základní škola Sokolov, Pionýrů 1614",69979073,LB Nábytek s.r.o.,26404061,346400.0,2026-02-03,2026,Nákup nábytku do kanceláří školy,True
36642349,"Základní škola a Mateřská škola T.G.Masaryka, Rudolfovská 143, České Budějovice",70877645,Richard Pechoč,67164463,86000.0,2026-01-12,2026,Výroba a montáž nábytku a krytů radiátorů,True
36641473,"Střední škola stavební a dřevozpracující, Ostrava, příspěvková organizace",00845213,HOMOLA a.s.,26792770,768986.37,2026-01-12,2026,Smlouva o dílo -  havarijní oprava teplovodu,True
36616333,"Statutární město Ostrava, městský obvod Moravská Ostrava a Přívoz",00845451,"Základní škola Ostrava, Zelená 42, příspěvková organizace",70933987,4255065.67,2026-01-29,2026,Smlouva - bezúplatná výpůjčka hmotných a nehmotných věcí pořízených v rámci projektu,False
36616317,"Statutární město Ostrava, městský obvod Moravská Ostrava a Přívoz",00845451,"Základní škola Ostrava, Gen. Píky 13A, příspěvková organizace",70933928,5395806.24,2026-01-29,2026,Smlouva - bezúplatná výpůjčka hmotných a nehmotných věcí pořízených v rámci projektu,False
36602881,Město Mohelnice,00303038,Generali Česká pojišťovna a.s.,45272956,926000.0,2026-01-30,2026,Pojistná smlouva - o pojištění majetku a odpovědnosti,False
36597137,Univerzita Pardubice,00216275,"Apinae Design, s.r.o.",22284206,278712.0,2026-01-29,2026,Vybavení interiéru pro budovu EA a EB (FES) – 2. etapa – 1. část: židle,False
36594857,"Střední škola průmyslová a umělecká, Opava, příspěvková organizace",47813121,JANKOSTAV s.r.o.,25855581,1652919.45,2026-01-30,2026,smlouva o dílo ,True
36589629,"Vyšší odborná škola a Střední škola veterinární, zemědělská a zdravotnická Třebíč",60418460,Life ProKlassa s.r.o.,03784762,358758.95,2026-01-29,2026,Kupní smlouva na dodání nábytku a vybavení učeben.,True
36587797,Univerzita Palackého v Olomouci,61989592,"Řempo LYRA, s.r.o.",25384660,187809.06,2026-01-28,2026,Objednávka: 4582012528 Nákup čistících přípravků pro SKM UP,False
36585561,"Střední škola elektrotechnická a energetická Sokolnice, příspěvková organizace",00380407,Atelier 99 s.r.o.,02463245,7840000.0,2026-01-29,2026,Zpracování projektové dokumentace - Přístavba SŠEE Sokolnice,True
36584605,"Základní škola a mateřská škola Ostrava - Zábřeh, Volgogradská 6B, příspěvková organizace",70978328,"SMERO, spol. s r.o.",25527886,180185.94,2026-01-28,2026,Kancelářský nábytek ,True
36582637,Masarykova univerzita,00216224,"Tělovýchovná jednota Rapid Brno, z.s.",44960221,63000.0,2026-01-29,2026,Nájemní smlouva - Smlouva o užívání části sportovního areálu TJ Rapid Brno (vnitřní prostory loděnice a přilehlé venkovn,False
36570089,"Základní škola, Brno, Řehořova 3, příspěvková organizace",49466135,NESTRONIC s.r.o.,13693336,52480.0,2026-01-28,2026,Nábytek,True
36567265,"Střední průmyslová škola dopravní, Plzeň, Karlovarská 99",69457930,"Středisko služeb školám, Plzeň, Částkova 78",49777700,503173.55,2026-01-26,2026,"Objednávka na nábytek do domova mládeže Skrétova, Průkopníků",True
36559705,Vysoká škola ekonomická v Praze,61384399,Nikola Bílá,72141883,151800.0,2026-01-27,2026,Pronájem místnosti č. 236 v budově FM JH,True
36559621,Vysoká škola ekonomická v Praze,61384399,Mgr. Alena Pikhartová,04843665,152600.0,2025-01-27,2025,Pronájem místnosti č. 237 v budově FM JH,True
36539101,"Základní škola Nový Jičín, Komenského 66, příspěvková organizace",00848336,RI OKNA a.s.,60724862,121121.0,2026-01-22,2026,"Smlouva o dílo - dodávka a montáž oken a dveří, žaluzie a síta v ŠJ",True
36537553,Základní škola a mateřská škola Plzeň-Božkov,70879214,Koza Doma   s.r.o. .,61329487,102280.0,2026-01-19,2026,Smlouva - ŠvP,True
36536241,5. mateřská škola Dobříš,61100307,Baar Group s.r.o.,06745342,142685.97,2026-01-19,2026,objednávka „Dětský nábytek HAPPY do mateřské školy“,True
36533453,"Základní škola a Praktická škola Moravské Budějovice, Dobrovského 11",60418494,Merkur Interier s.r.o.,27720641,242544.0,2025-12-30,2025,kupní smlouva na nábytek,True
36533313,"Střední odborná škola a Střední odborné učiliště, Nymburk, V Kolonii 1804",14451026,"SMERO, spol. s r.o.",25527886,550000.0,2026-01-26,2026,Rámcová kupní smlouva- hygienické a čisticí prostředky,True
36521017,"Gymnázium, Praha 5, Na Zatlance 11",61385271,"Gymnázium, Praha 5, Na Zatlance 11",61385271,150000.0,2025-12-18,2025,Darovací smlouva spolku přátel školy,True
36513601,Univerzita Palackého v Olomouci,61989592,KAREL BOČÁNEK s.r.o.,23969415,749000.0,2026-01-22,2026,Objednávka: 4541021962 Stěhovací služby pro Pedagogickou fakultu,False
36497597,"Střední průmyslová škola, Obchodní akademie a Jazyková škola s právem státní jazykové zkoušky, Frýdek-Místek, příspěvková organizace",00601381,AITAA system s.r.o.,08393176,4635361.55,2026-01-22,2026,Smlouva o dílo na stavbu „Green &amp; Smart – stavební část“,True
36492873,"Diagnostický ústav a základní škola Praha 2, Lublaňská 33, státní příspěvková organizace",49625357,Profil nábytek a.s.,48202118,80950.0,2026-01-22,2026,Prováděcí smlouva na dodávky nábytku,True
