izo,lat,lon
000474029,50.2604026,14.5188037
000068837,50.3531314,14.4792661
000068845,50.239749,14.3013515
000069078,50.3483071,14.4813434
000069221,50.3455988,14.481345
000069540,50.4078364,14.4467459
108022463,50.4152209,14.9058406
000068861,50.5226275,14.9688211
000069086,50.4164151,14.905055
108022650,50.4113875,14.9122038
108022722,50.4397713,14.927495
108022676,50.4112404,14.9179276
110012895,50.4112404,14.9179276
000068853,50.4160618,14.9064936
107820439,50.3270624,14.8560615
000069141,50.4121787,14.9105015
107820447,50.5624653,15.0168588
107820153,50.4269313,14.9186475
000068888,50.1456157,15.1167271
000069175,50.1429151,15.1217937
108052052,50.1417323,15.1194189
000069248,50.1525968,15.11363
040801462,50.1916607,15.05074
000068870,50.1907761,15.041866
000069574,50.2087853,15.3042027
150068654,50.1950702,14.8524344
108052028,50.2047904,14.8399127
000664359,50.1480021,15.1187671
108052940,50.1632951,14.7507063
108003841,50.2186895,14.4096294
108003981,50.1806256,14.6584102
108052958,49.9917087,14.6621828
108003868,50.184405,14.6701023
110450469,50.1595538,14.7420275
107820480,49.8977148,14.4856476
000068934,49.7794713,14.17405
000069108,49.6875036,14.0188165
000069159,49.6903549,14.0095511
000068926,49.6886919,14.0186036
000068942,49.6567349,14.4277015
000069264,49.5617284,13.94676
000069647,49.7463803,14.0197707
014803844,49.6561083,14.4206021
110450931,49.6958519,14.0517442
107820536,50.1600594,13.9012707
000068951,50.1043669,13.7332635
000068969,50.1528833,13.9010848
107820218,50.0407511,13.8810539
000069167,50.102083,13.7376409
060076135,48.9821945,14.4772357
060076101,48.9789062,14.4777918
060076062,49.2118375,14.4292219
062534408,48.8441486,14.6341201
060076046,48.9778234,14.471181
000582298,48.8421265,14.6388299
000666122,48.9723428,14.4795777
150004222,48.9763378,14.482658
045019517,48.9730795,14.5040873
250005476,48.9730795,14.5040873
060074302,48.9884439,14.4740586
060074281,48.9723428,14.4795777
060075775,48.9746987,14.4719714
110150309,48.9793268,14.4984379
060076089,48.979144,14.4696652
110150031,48.9527951,14.4672677
060075970,48.9700694,14.4783996
046681612,48.9984555,14.4466202
000583839,48.8177938,14.3095208
060084286,48.806086,14.3161877
041900995,48.9746086,14.4800624
181068745,48.9746085,14.4830613
000073041,49.1443265,15.003354
102403554,49.1476584,14.9993194
000367753,49.0063825,14.766037
000072966,49.1473158,15.0006886
102403562,49.0830907,15.4287394
102675511,49.0110682,14.7570467
107830299,49.0119008,14.7574288
107830302,49.0762686,15.4417674
000367761,49.5417578,15.35375
000072753,49.4289145,15.2215696
110033795,49.4319551,15.2280186
000073059,49.5379856,15.3531021
000072869,49.2995388,15.0760729
107830396,49.5414232,15.3608032
108054136,49.3056381,14.1521938
108054063,49.4530371,14.3621821
108054071,49.3067126,14.1520403
108054101,49.310657,14.1394984
108054098,49.310657,14.1394984
108054021,49.3192874,14.1627148
060096136,49.0099913,13.9967801
000477419,49.015191,13.9934421
102263663,49.0559259,13.7809805
108004481,49.060075,13.7766959
060650486,49.4269769,13.8690819
110021479,49.1475898,14.1728251
060446846,49.2640091,13.9005711
107830345,49.4198901,13.8782844
060650443,49.2654254,13.893624
060061863,49.4054536,14.6887115
060061812,49.4138096,14.6637929
060064765,49.2555682,14.7209981
060065303,49.4052155,14.6779137
000582875,49.4116177,14.6838431
181067978,49.4116177,14.6838431
060061855,49.1875807,14.6983869
060061880,49.300119,14.4726927
110400666,49.4050234,14.6797268
048342912,49.4419115,12.9256532
110026420,49.5564223,13.0717276
048342939,49.4395315,12.9275758
018230083,49.6372784,13.1553895
000519324,50.2166036,12.1941832
000478423,49.9732119,12.7016451
000076953,50.0763808,12.3626094
000077119,49.9622365,12.700095
108015769,50.0812741,12.3678354
102109401,50.0812741,12.3678354
000077127,50.3047661,12.9521365
000520055,50.2275993,12.8819661
049753789,50.2325042,12.8892626
000077224,50.2315461,12.8742583
000077135,50.2348665,12.8511784
049752391,50.2351294,12.8803256
042840431,50.2401076,12.8526779
000076970,50.2339833,12.887592
000077305,50.0924002,13.1627033
049753771,50.3026461,12.953508
110035381,50.2468913,12.8924013
000669725,50.2373306,12.8947871
000076996,49.3913801,13.2990088
000077143,49.4025427,13.2804561
000077003,49.234701,13.5212412
000077232,49.3973667,13.30404
107840294,49.3219112,13.7138551
107840308,49.2359712,13.5150061
000077313,49.3906773,13.3002193
049778137,49.7429574,13.3343136
000574406,49.7254308,13.3632464
049774301,49.7325412,13.4048558
049778099,49.7418128,13.3735874
049778102,49.7515047,13.4136132
049778145,49.739551,13.3874433
064353389,49.7446766,13.3701352
049778161,49.7412324,13.3729849
000520152,49.7252729,13.3644089
040527867,49.7393119,13.389282
049775961,49.770902,13.370677
181035081,49.770902,13.370677
049776541,49.7291752,13.371946
110037545,49.7584863,13.3088948
110034538,49.7463772,13.3503474
110100204,49.741406,13.3681712
000497061,49.8484888,13.3802038
049777149,49.7501603,13.3787598
049778064,49.73772,13.3716705
108005666,49.7248152,13.3509404
108005631,49.582957,13.5341308
108005640,49.586049,13.5358738
102276081,49.5859938,13.535503
108005623,49.6139003,13.6053572
181075075,49.738353,13.3962634
108032060,49.9354501,13.3953863
107840359,49.9806938,13.4866825
000479322,49.7461431,13.6007185
018242171,49.7456068,13.6014937
049767194,50.1761296,12.6405737
049790820,50.175928,12.6587191
102100675,49.759561,13.0009281
000479021,49.7994691,12.6305765
110017501,49.7108382,12.7771834
048326437,49.8676947,12.7374273
102464367,49.8696365,12.7355956
000077348,49.7541411,12.9975615
102145598,50.6953931,14.5483968
102145580,50.6667913,14.7289229
102145776,50.6862088,14.5338613
102133883,50.773805,14.4715425
102145571,50.6874629,14.533537
108029174,50.6998437,14.5381041
102133786,50.691605,14.5425225
108028917,50.6927068,14.5296063
047274719,51.0079851,14.4555188
110017919,50.9129438,14.61569
047274611,50.7806228,14.2168242
000497029,50.9536634,14.5557609
047274620,50.7804075,14.217691
018383874,50.8998576,14.6256363
047274654,50.769129,14.2366961
047274603,50.9521267,14.552082
000081825,50.4660378,13.420584
000081833,50.3802895,13.2721728
000082104,50.3783779,13.2696914
108030091,50.385496,13.1778892
107850079,50.5071428,13.4600099
000081850,50.7382313,15.3056613
000082121,50.6425701,15.2516488
000081841,50.7206613,15.1632438
102177368,50.74246,15.31432
107850753,50.7290638,15.1753863
107850214,50.7410388,15.1438124
000081973,50.9250195,15.081508
108030482,50.7604595,15.0675949
108030598,50.7823677,15.0579495
110028554,50.7566105,15.0565785
000081868,50.7710891,15.0346049
000082139,50.771186,15.054845
000082252,50.772834,15.0625337
000392642,50.7545351,15.0478661
110025202,50.7976384,15.0990056
107850389,50.7976384,15.0990056
102000930,50.7976384,15.0990056
107850532,50.9179151,15.0894513
110150058,50.7653125,15.0756808
108030717,50.7567993,15.0848537
000082015,50.4843926,14.1703109
108043690,50.5387255,14.1306238
110013204,50.5332065,14.1314741
108043738,50.540143,14.14129
